0.203,-0.664,0.836
0.191,-0.664,0.828
0.195,-0.645,0.828
0.207,-0.621,0.84
0.203,-0.602,0.828
0.16,-0.629,0.809
0.078,-0.699,0.828
-0.016,-0.695,0.879
-0.102,-0.598,0.973
-0.121,-0.445,1.098
-0.094,-0.324,1.18
-0.078,-0.289,1.164
-0.098,-0.305,1.094
-0.145,-0.359,1.008
-0.188,-0.41,0.949
-0.191,-0.465,0.926
-0.148,-0.543,0.914
-0.082,-0.613,0.914
-0.008,-0.629,0.949
0.031,-0.598,0.977
0.035,-0.559,0.988
0.039,-0.516,0.98
0.031,-0.5,0.965
0.027,-0.496,0.949
0.035,-0.492,0.934
0.047,-0.484,0.91
0.055,-0.48,0.891
0.07,-0.469,0.867
0.09,-0.465,0.859
0.09,-0.469,0.852
0.09,-0.465,0.832
0.086,-0.461,0.824
0.082,-0.461,0.809
0.066,-0.473,0.785
0.043,-0.484,0.773
0.059,-0.5,0.762
0.09,-0.516,0.746
0.105,-0.52,0.742
0.105,-0.527,0.75
0.094,-0.535,0.762
0.094,-0.535,0.785
0.086,-0.551,0.801
0.074,-0.57,0.809
0.051,-0.578,0.805
0.023,-0.574,0.809
-0.004,-0.566,0.816
-0.02,-0.566,0.816
-0.031,-0.586,0.805
-0.035,-0.605,0.785
-0.035,-0.609,0.781
-0.035,-0.613,0.785
-0.035,-0.617,0.805
-0.031,-0.617,0.816
-0.016,-0.621,0.82
-0.012,-0.641,0.82
-0.008,-0.66,0.824
0.008,-0.695,0.805
0.008,-0.73,0.746
0.012,-0.758,0.711
0.055,-0.762,0.746
0.223,-0.703,0.816
0.375,-0.617,0.906
0.391,-0.547,1.035
0.336,-0.461,1.168
0.27,-0.398,1.266
0.188,-0.422,1.305
0.145,-0.496,1.273
0.145,-0.559,1.223
0.203,-0.57,1.184
0.23,-0.535,1.133
0.223,-0.492,1.094
0.195,-0.469,1.07
0.172,-0.484,1.039
0.152,-0.52,1.008
0.125,-0.539,0.969
0.086,-0.523,0.945
0.055,-0.48,0.934
0.035,-0.441,0.918
0.035,-0.402,0.891
0.047,-0.387,0.867
0.063,-0.379,0.836
0.066,-0.383,0.797
0.07,-0.383,0.773
0.063,-0.383,0.762
0.059,-0.387,0.742
0.063,-0.398,0.742
0.063,-0.418,0.746
0.066,-0.441,0.75
0.082,-0.465,0.762
0.105,-0.492,0.77
0.129,-0.523,0.766
0.145,-0.551,0.758
0.156,-0.563,0.754
0.172,-0.574,0.754
0.18,-0.582,0.75
0.188,-0.59,0.758
0.203,-0.594,0.762
0.215,-0.598,0.766
0.219,-0.598,0.781
0.215,-0.594,0.801
0.215,-0.59,0.816
0.211,-0.594,0.824
0.215,-0.613,0.824
0.215,-0.641,0.813
0.223,-0.676,0.797
0.234,-0.707,0.789
0.234,-0.73,0.77
0.238,-0.738,0.758
0.234,-0.746,0.738
0.199,-0.789,0.758
0.121,-0.863,0.789
0.02,-0.836,0.77
-0.078,-0.734,0.816
-0.109,-0.629,0.918
-0.074,-0.496,0.996
-0.059,-0.387,1.031
-0.086,-0.359,1.012
-0.137,-0.391,0.965
-0.176,-0.449,0.93
-0.18,-0.504,0.891
