ID,group,x_acc__sum_values,x_acc__median,x_acc__mean,x_acc__length,x_acc__standard_deviation,x_acc__variance,x_acc__root_mean_square,x_acc__maximum,x_acc__absolute_maximum,x_acc__minimum,y_acc__sum_values,y_acc__median,y_acc__mean,y_acc__length,y_acc__standard_deviation,y_acc__variance,y_acc__root_mean_square,y_acc__maximum,y_acc__absolute_maximum,y_acc__minimum,z_acc__sum_values,z_acc__median,z_acc__mean,z_acc__length,z_acc__standard_deviation,z_acc__variance,z_acc__root_mean_square,z_acc__maximum,z_acc__absolute_maximum,z_acc__minimum,x_acc__freezing_index,x_acc__central_frequency,x_acc__dominant_frequency,x_acc__amplitude,x_acc__relative_amplitude,x_acc__percentile25,x_acc__percentile50,x_acc__percentile75,y_acc__freezing_index,y_acc__central_frequency,y_acc__dominant_frequency,y_acc__amplitude,y_acc__relative_amplitude,y_acc__percentile25,y_acc__percentile50,y_acc__percentile75,z_acc__freezing_index,z_acc__central_frequency,z_acc__dominant_frequency,z_acc__amplitude,z_acc__relative_amplitude,z_acc__percentile25,z_acc__percentile50,z_acc__percentile75
tone045-2,1,388.781,0.102,0.109300253,3557,0.08427658611,0.007102542966,0.1380184346,0.625,0.625,-0.254,-1778.928,-0.48,-0.5001203261,3557,0.1530236554,0.02341623911,0.5230072463,0.059,1.52,-1.52,3182.307,0.895,0.894660388,3557,0.1365304628,0.01864056726,0.9050181087,1.313,1.313,0.594,0.5140663056,5.152726473,0.9765625,0.005316148101,0.1318331005,0.078,0.102,0.145,0.8970459932,7.131574958,1.953125,0.02165449479,0.1626960627,-0.539,-0.48,-0.43,0.2465129331,2.437864596,1.953125,0.0499829145,0.4504521706,0.805,0.895,0.93
tone046-1,1,-250.34,-0.027,-0.05398749191,4637,0.1419524817,0.02015050707,0.1518721711,0.527,0.789,-0.789,-376.781,-0.047,-0.0812553375,4637,0.1950036908,0.03802643944,0.2112554598,0.461,0.563,-0.563,4722.807,1.02,1.018504852,4637,0.07959118796,0.006334757201,1.021609951,1.328,1.328,0.824,0.4753091037,3.755488998,1.3671875,0.03147366056,0.3015022979,-0.117,-0.027,0.004,0.5502427048,1.898869736,0.1953125,0.02116499988,0.3951717561,-0.113,-0.047,0.016,0.7874049804,4.168921717,2.734375,0.003523245913,0.140668421,0.957,1.02,1.059
tone046-2,1,-250.287,-0.035,-0.05244907795,4772,0.1509740147,0.02279315311,0.1598250884,0.582,0.75,-0.75,90.548,0.008,0.01897485331,4772,0.08384356939,0.007029744129,0.08596388304,0.32,0.32,-0.293,4950.566,1.039,1.037419531,4772,0.06503619809,0.004229707062,1.039456103,1.305,1.305,0.793,0.4992724339,3.880076206,1.3671875,0.03364302385,0.2914773662,-0.109,-0.035,0,0.5544876539,4.555155419,2.734375,0.002857629907,0.1218269928,-0.035,0.008,0.082,0.923814557,4.524747482,2.734375,0.003387119409,0.1466639306,0.996,1.039,1.059
tone047-1,1,479.837,0.137,0.1229720656,3902,0.09412835707,0.008860147605,0.154862121,0.598,0.598,-0.316,-2824.882,-0.703,-0.7239574577,3902,0.1191189346,0.01418932059,0.7336918435,-0.313,1.5,-1.5,2780.74,0.719,0.7126447975,3902,0.1001931012,0.01003865753,0.7196535729,1.066,1.066,0.418,0.8251326203,3.744605523,2.9296875,0.00731804298,0.1544713531,0.086,0.137,0.176,2.70740619,5.830974916,6.0546875,0.007705255682,0.103614615,-0.734,-0.703,-0.676,0.3105572715,2.781024734,1.953125,0.0204634397,0.3623163613,0.668,0.719,0.75
tone047-2,1,510.989,0.129,0.1347544831,3792,0.08952779962,0.008015226905,0.161783799,0.543,0.543,-0.27,-2737.635,-0.715,-0.7219501582,3792,0.1169810625,0.01368456898,0.7313662557,-0.34,1.254,-1.254,2699.626,0.707,0.7119266878,3792,0.09692350612,0.009394166039,0.7184941021,1.07,1.07,0.465,1.203949915,3.868312271,3.125,0.008181983856,0.1914389339,0.105,0.129,0.176,2.528776683,5.786096895,6.25,0.007648454016,0.1054420649,-0.746,-0.715,-0.664,0.2049961657,2.572192011,1.953125,0.01818468318,0.3384409383,0.668,0.707,0.758
tone048-1,1,56.93,0.004,0.01130236252,5037,0.09056849164,0.008202651678,0.091270998,0.305,0.305,-0.262,-3736.499,-0.738,-0.741810403,5037,0.09554291324,0.00912844827,0.7479379134,-0.367,1.141,-1.141,3566.421,0.703,0.7080446694,5037,0.08408632006,0.007070509222,0.7130201702,0.988,0.988,0.414,1.055025954,3.093562541,1.171875,0.00774343882,0.1859648731,-0.043,0.004,0.066,0.6310962469,3.748532199,2.34375,0.005588948185,0.1628781833,-0.777,-0.738,-0.695,0.8635088038,3.680690138,0.1953125,0.003657881358,0.1740055217,0.652,0.703,0.758
tone048-2,1,112.442,0.02,0.02474515845,4544,0.08369334705,0.007004576341,0.08727484865,0.316,0.316,-0.234,-3492.176,-0.762,-0.7685246479,4544,0.0763954213,0.005836260396,0.7723123687,-0.582,1.125,-1.125,3098.168,0.676,0.6818151408,4544,0.06611794692,0.004371582905,0.685013481,0.91,0.91,0.461,1.218654716,3.450410571,1.171875,0.007407401666,0.2013170576,-0.02,0.02,0.078,0.5504048583,4.646656051,2.34375,0.006386184805,0.2325116697,-0.805,-0.762,-0.711,0.5515173987,4.301496129,2.34375,0.003179053531,0.1735132035,0.637,0.676,0.738
tone049-1,1,41.327,0.016,0.009839761905,4200,0.09498315535,0.0090217998,0.09549146933,0.363,0.363,-0.355,-2527.656,-0.633,-0.6018228571,4200,0.1442049882,0.02079507862,0.6188584895,-0.156,1.137,-1.137,3518.141,0.813,0.837652619,4200,0.1167255839,0.01362486195,0.8457462812,1.277,1.277,0.59,0.635940502,3.68495735,2.9296875,0.01017480394,0.2226835482,-0.035,0.016,0.051,0.8908262209,3.571468107,0.1953125,0.01259260386,0.1844701915,-0.672,-0.633,-0.543,0.2553090876,2.59682092,1.953125,0.01861531999,0.3293083932,0.773,0.813,0.902
tone049-2,1,111.212,0.02,0.02872210744,3872,0.09833224875,0.009669231143,0.1024411568,0.453,0.453,-0.313,-2386.849,-0.641,-0.6164382748,3872,0.1277074124,0.01630918317,0.6295278626,-0.227,1.168,-1.168,3206.618,0.797,0.8281554752,3872,0.1108598559,0.01228990765,0.8355425775,1.211,1.211,0.57,1.108775988,3.942016022,2.9296875,0.01048056843,0.2391266752,-0.017,0.02,0.063,0.9282363871,4.366782789,1.953125,0.01073162965,0.1625648435,-0.684,-0.641,-0.539,0.2348503367,2.83892144,1.953125,0.02142776797,0.3582515769,0.762,0.797,0.895
tone050-1,1,380.373,0.07,0.07174141833,5302,0.08914408006,0.00794666701,0.1144268243,0.516,0.516,-0.254,-3845.342,-0.715,-0.7252625424,5302,0.1208463775,0.01460384695,0.7352615877,-0.277,1.488,-1.488,3804.232,0.707,0.7175088646,5302,0.1068842034,0.01142423295,0.7254262221,1.141,1.141,0.379,0.5791685682,3.678222557,0.9765625,0.003879403213,0.1083849333,-0.008,0.07,0.141,1.030423529,5.484429809,1.7578125,0.006767387656,0.1115745965,-0.77,-0.715,-0.656,1.150137274,3.324667622,1.7578125,0.007128803919,0.1572455616,0.637,0.707,0.793
