,0.066,-0.77,0.664
2066,0.152,-0.746,0.816
2067,0.164,-0.719,0.809
2068,0.184,-0.707,0.793
2069,0.207,-0.699,0.77
2070,0.223,-0.684,0.734
2071,0.215,-0.664,0.699
2072,0.203,-0.637,0.664
2073,0.188,-0.633,0.633
2074,0.176,-0.625,0.613
2075,0.152,-0.633,0.594
2076,0.129,-0.652,0.566
2077,0.109,-0.66,0.559
2078,0.125,-0.668,0.574
2079,0.125,-0.672,0.582
2080,0.137,-0.672,0.598
2081,0.137,-0.676,0.613
2082,0.137,-0.68,0.641
2083,0.125,-0.703,0.652
2084,0.133,-0.727,0.652
2085,0.137,-0.727,0.652
2086,0.148,-0.719,0.652
2087,0.164,-0.723,0.648
2088,0.188,-0.715,0.652
2089,0.195,-0.723,0.648
2090,0.184,-0.754,0.633
2091,0.176,-0.77,0.625
2092,0.164,-0.766,0.637
2093,0.16,-0.742,0.664
2094,0.168,-0.73,0.688
2095,0.184,-0.734,0.691
2096,0.207,-0.723,0.695
2097,0.223,-0.711,0.707
2098,0.227,-0.699,0.715
2099,0.23,-0.695,0.723
2100,0.238,-0.691,0.719
2101,0.25,-0.684,0.715
2102,0.254,-0.656,0.711
2103,0.254,-0.629,0.691
2104,0.25,-0.664,0.668
2105,0.211,-0.84,0.617
2106,0.09,-0.973,0.582
2107,-0.105,-0.957,0.625
2108,-0.262,-0.867,0.695
2109,-0.266,-0.754,0.785
2110,-0.117,-0.672,0.902
2111,0.082,-0.645,0.988
2112,0.207,-0.668,1.004
2113,0.199,-0.719,0.992
2114,0.102,-0.797,0.996
2115,0.02,-0.844,1.0
2116,-0.027,-0.832,1.004
2117,-0.031,-0.801,0.996
2118,-0.008,-0.762,0.961
2119,0.012,-0.746,0.895
2120,0.016,-0.73,0.828
2121,0.016,-0.719,0.777
2122,0.008,-0.703,0.734
2123,-0.012,-0.68,0.699
2124,-0.02,-0.656,0.672
2125,-0.027,-0.637,0.66
2126,-0.027,-0.637,0.637
2127,-0.035,-0.641,0.621
2128,-0.027,-0.652,0.617
2129,-0.02,-0.648,0.605
2130,0.004,-0.637,0.613
2131,0.016,-0.629,0.613
2132,0.02,-0.645,0.617
2133,0.012,-0.668,0.625
2134,-0.004,-0.695,0.637
2135,-0.012,-0.734,0.641
2136,-0.016,-0.762,0.652
2137,-0.023,-0.773,0.668
2138,-0.023,-0.781,0.672
2139,-0.039,-0.789,0.676
2140,-0.051,-0.793,0.68
2141,-0.059,-0.801,0.676
2142,-0.07,-0.805,0.672
2143,-0.086,-0.809,0.66
2144,-0.086,-0.809,0.648
2145,-0.082,-0.789,0.641
2146,-0.074,-0.77,0.645
2147,-0.066,-0.777,0.652
2148,-0.051,-0.801,0.648
2149,-0.051,-0.828,0.648
2150,-0.059,-0.844,0.656
2151,-0.07,-0.84,0.656
2152,-0.07,-0.813,0.672
2153,-0.078,-0.789,0.68
2154,-0.098,-0.777,0.684
2155,-0.105,-0.793,0.688
2156,-0.113,-0.836,0.672
2157,-0.094,-0.91,0.66
2158,-0.027,-0.977,0.645
2159,0.078,-0.957,0.633
2160,0.164,-0.875,0.645
2161,0.207,-0.777,0.66
2162,0.227,-0.676,0.668
2163,0.25,-0.641,0.691
2164,0.266,-0.652,0.719
2165,0.266,-0.664,0.762
2166,0.266,-0.672,0.809
2167,0.273,-0.668,0.844
2168,0.281,-0.648,0.867
2169,0.285,-0.621,0.863
2170,0.289,-0.641,0.844
2171,0.285,-0.656,0.813
2172,0.277,-0.652,0.781
2173,0.258,-0.656,0.75
2174,0.25,-0.668,0.73
2175,0.246,-0.695,0.711
2176,0.254,-0.723,0.695
2177,0.262,-0.75,0.676
2178,0.27,-0.781,0.672
2179,0.262,-0.797,0.66
2180,0.25,-0.805,0.656
2181,0.242,-0.797,0.652
2182,0.238,-0.781,0.656
2183,0.219,-0.766,0.66
2184,0.211,-0.746,0.656
2185,0.207,-0.73,0.652
2186,0.199,-0.719,0.645
2187,0.18,-0.719,0.645
2188,0.176,-0.723,0.648
2189,0.191,-0.734,0.641
2190,0.188,-0.758,0.621
2191,0.168,-0.777,0.605
2192,0.141,-0.793,0.598
2193,0.129,-0.781,0.59
2194,0.141,-0.746,0.605
2195,0.164,-0.723,0.609
2196,0.188,-0.672,0.613
2197,0.195,-0.629,0.625
2198,0.195,-0.625,0.637
2199,0.215,-0.66,0.645
2200,0.238,-0.688,0.652
2201,0.246,-0.715,0.652
2202,0.238,-0.738,0.656
2203,0.223,-0.746,0.656
2204,0.215,-0.754,0.652
2205,0.227,-0.734,0.648
2206,0.242,-0.688,0.652
2207,0.246,-0.641,0.648
2208,0.238,-0.625,0.629
2209,0.203,-0.711,0.594
2210,0.094,-0.859,0.539
2211,-0.09,-0.902,0.551
2212,-0.266,-0.883,0.633
2213,-0.328,-0.816,0.734
2214,-0.25,-0.762,0.855
2215,-0.078,-0.742,0.988
2216,0.07,-0.699,1.098
2217,0.113,-0.68,1.164
2218,0.082,-0.727,1.148
2219,0.02,-0.789,1.094
2220,-0.059,-0.797,1.063
2221,-0.117,-0.754,1.035
2222,-0.113,-0.723,0.992
2223,-0.086,-0.699,0.922
2224,-0.066,-0.672,0.852
2225,-0.07,-0.66,0.785
2226,-0.082,-0.668,0.738
2227,-0.102,-0.684,0.703
2228,-0.09,-0.684,0.691
2229,-0.078,-0.676,0.684
2230,-0.047,-0.691,0.688
2231,-0.016,-0.699,0.684
2232,0.012,-0.715,0.684
2233,0.035,-0.715,0.684
2234,0.047,-0.707,0.676
2235,0.063,-0.707,0.672
2236,0.059,-0.711,0.652
2237,0.047,-0.707,0.641
2238,0.031,-0.723,0.641
2239,0.012,-0.754,0.629
2240,-0.008,-0.789,0.629
2241,-0.02,-0.824,0.629
2242,-0.02,-0.836,0.629
2243,-0.02,-0.824,0.633
2244,-0.02,-0.805,0.633
2245,-0.016,-0.789,0.625
2246,-0.016,-0.773,0.605
2247,-0.035,-0.754,0.59
2248,-0.066,-0.734,0.586
2249,-0.078,-0.727,0.582
2250,-0.078,-0.727,0.574
2251,-0.074,-0.719,0.582
2252,-0.07,-0.719,0.59
2253,-0.07,-0.715,0.598
2254,-0.066,-0.727,0.602
2255,-0.07,-0.73,0.613
2256,-0.086,-0.73,0.621
2257,-0.105,-0.734,0.625
2258,-0.105,-0.734,0.629
2259,-0.098,-0.738,0.633
2260,-0.094,-0.766,0.625
2261,-0.09,-0.824,0.609
2262,-0.07,-0.879,0.605
2263,0.012,-0.879,0.613
2264,0.137,-0.824,0.641
2265,0.23,-0.785,0.676
2266,0.273,-0.777,0.715
2267,0.285,-0.781,0.777
2268,0.289,-0.801,0.84
2269,0.277,-0.801,0.91
2270,0.266,-0.766,0.973
2271,0.25,-0.719,1.016
2272,0.23,-0.684,1.016
2273,0.188,-0.676,0.977
2274,0.148,-0.652,0.941
2275,0.137,-0.652,0.895
2276,0.148,-0.664,0.84
2277,0.156,-0.691,0.789
2278,0.164,-0.711,0.762
2279,0.18,-0.699,0.734
2280,0.211,-0.68,0.711
2281,0.227,-0.656,0.695
2282,0.238,-0.652,0.68
2283,0.242,-0.672,0.668
2284,0.238,-0.703,0.656
2285,0.219,-0.727,0.652
2286,0.199,-0.73,0.648
2287,0.184,-0.734,0.641
2288,0.168,-0.734,0.652
2289,0.145,-0.75,0.66
2290,0.141,-0.766,0.664
2291,0.152,-0.777,0.664
2292,0.176,-0.777,0.668
2293,0.211,-0.754,0.672
2294,0.227,-0.742,0.664
2295,0.223,-0.73,0.645
2296,0.199,-0.738,0.633
2297,0.184,-0.723,0.625
2298,0.176,-0.684,0.617
2299,0.164,-0.66,0.621
2300,0.156,-0.633,0.629
2301,0.156,-0.621,0.629
2302,0.164,-0.625,0.625
2303,0.168,-0.625,0.637
2304,0.176,-0.629,0.652
2305,0.172,-0.652,0.668
2306,0.168,-0.652,0.676
2307,0.168,-0.641,0.688
2308,0.18,-0.625,0.688
2309,0.199,-0.59,0.688
2310,0.203,-0.547,0.695
2311,0.203,-0.551,0.691
2312,0.164,-0.703,0.672
2313,0.047,-0.863,0.652
2314,-0.148,-0.887,0.715
2315,-0.324,-0.813,0.813
2316,-0.336,-0.734,0.922
2317,-0.172,-0.68,1.035
2318,0.043,-0.652,1.137
2319,0.148,-0.648,1.18
2320,0.105,-0.707,1.18
2321,0.012,-0.793,1.168
2322,-0.047,-0.813,1.145
2323,-0.031,-0.777,1.117
2324,0.012,-0.707,1.102
2325,0.02,-0.625,1.074
2326,0.004,-0.59,1.008
2327,-0.004,-0.605,0.934
2328,0.012,-0.645,0.852
2329,0.012,-0.672,0.773
2330,0.004,-0.668,0.738
2331,-0.008,-0.664,0.719
2332,-0.012,-0.668,0.715
2333,-0.02,-0.691,0.715
2334,-0.016,-0.699,0.723
2335,0.004,-0.699,0.738
2336,0.031,-0.695,0.746
2337,0.055,-0.676,0.75
2338,0.063,-0.656,0.738
2339,0.047,-0.652,0.719
2340,0.012,-0.652,0.699
2341,-0.008,-0.66,0.684
2342,-0.023,-0.676,0.668
2343,-0.023,-0.684,0.664
2344,-0.004,-0.691,0.668
2345,0.016,-0.691,0.66
2346,0.031,-0.699,0.652
2347,0.027,-0.691,0.629
2348,-0.004,-0.68,0.609
2349,-0.023,-0.684,0.578
2350,-0.035,-0.707,0.539
2351,-0.059,-0.715,0.516
2352,-0.082,-0.719,0.496
2353,-0.094,-0.707,0.496
2354,-0.102,-0.695,0.508
2355,-0.109,-0.707,0.523
2356,-0.121,-0.742,0.539
2357,-0.129,-0.766,0.555
2358,-0.125,-0.777,0.582
2359,-0.129,-0.758,0.617
2360,-0.121,-0.738,0.652
2361,-0.117,-0.715,0.672
2362,-0.113,-0.691,0.676
2363,-0.105,-0.695,0.664
2364,-0.074,-0.738,0.664
2365,0.008,-0.777,0.688
2366,0.145,-0.797,0.727
2367,0.27,-0.785,0.766
2368,0.34,-0.789,0.832
2369,0.355,-0.809,0.906
2370,0.355,-0.855,0.98
2371,0.359,-0.875,1.047
2372,0.332,-0.852,1.109
2373,0.277,-0.82,1.152
2374,0.242,-0.785,1.164
2375,0.227,-0.75,1.121
2376,0.211,-0.711,1.07
2377,0.18,-0.668,1.016
2378,0.145,-0.625,0.945
2379,0.109,-0.594,0.863
2380,0.09,-0.605,0.797
2381,0.109,-0.641,0.75
2382,0.156,-0.676,0.707
2383,0.191,-0.695,0.676
2384,0.207,-0.691,0.668
2385,0.211,-0.688,0.664
2386,0.207,-0.668,0.656
2387,0.203,-0.637,0.66
2388,0.191,-0.617,0.664
2389,0.176,-0.602,0.672
2390,0.16,-0.59,0.688
2391,0.145,-0.598,0.688
2392,0.137,-0.605,0.676
2393,0.141,-0.617,0.66
2394,0.137,-0.637,0.648
2395,0.129,-0.668,0.629
2396,0.129,-0.684,0.609
2397,0.137,-0.688,0.602
2398,0.137,-0.695,0.582
2399,0.145,-0.695,0.57
2400,0.152,-0.699,0.563
2401,0.156,-0.711,0.563
2402,0.172,-0.727,0.559
2403,0.195,-0.738,0.57
2404,0.207,-0.766,0.582
2405,0.219,-0.797,0.59
2406,0.23,-0.805,0.586
2407,0.223,-0.797,0.598
2408,0.195,-0.785,0.602
2409,0.168,-0.766,0.594
2410,0.152,-0.762,0.598
2411,0.16,-0.766,0.613
2412,0.18,-0.758,0.637
2413,0.188,-0.738,0.66
2414,0.191,-0.715,0.695
2415,0.195,-0.656,0.715
2416,0.195,-0.609,0.719
2417,0.188,-0.59,0.703
2418,0.145,-0.625,0.672
2419,0.043,-0.711,0.645
2420,-0.09,-0.801,0.625
2421,-0.207,-0.832,0.656
2422,-0.27,-0.797,0.734
2423,-0.23,-0.766,0.867
2424,-0.098,-0.77,1.012
2425,0.047,-0.746,1.125
2426,0.125,-0.738,1.207
2427,0.121,-0.766,1.223
2428,0.098,-0.836,1.211
2429,0.051,-0.883,1.172
2430,0.012,-0.887,1.105
2431,-0.012,-0.848,1.023
2432,-0.027,-0.793,0.945
2433,-0.043,-0.742,0.863
2434,-0.059,-0.719,0.785
2435,-0.063,-0.699,0.738
2436,-0.055,-0.668,0.703
2437,-0.031,-0.633,0.691
2438,-0.023,-0.617,0.684
2439,-0.02,-0.629,0.668
2440,-0.004,-0.652,0.664
2441,0.023,-0.668,0.648
2442,0.055,-0.672,0.633
2443,0.074,-0.664,0.621
2444,0.07,-0.656,0.602
2445,0.047,-0.676,0.59
2446,0.008,-0.703,0.582
2447,-0.023,-0.727,0.582
2448,-0.043,-0.742,0.59
2449,-0.051,-0.758,0.605
2450,-0.051,-0.766,0.621
2451,-0.031,-0.781,0.621
2452,-0.016,-0.805,0.613
2453,-0.016,-0.816,0.602
2454,-0.027,-0.816,0.586
2455,-0.027,-0.813,0.578
2456,-0.035,-0.805,0.566
2457,-0.055,-0.797,0.551
2458,-0.074,-0.797,0.547
2459,-0.086,-0.789,0.547
2460,-0.094,-0.793,0.555
2461,-0.09,-0.809,0.563
2462,-0.09,-0.828,0.559
2463,-0.09,-0.836,0.563
2464,-0.086,-0.84,0.574
2465,-0.074,-0.844,0.59
2466,-0.059,-0.848,0.613
2467,-0.055,-0.844,0.629
2468,-0.059,-0.832,0.641
2469,-0.059,-0.797,0.645
2470,-0.063,-0.762,0.648
2471,-0.07,-0.742,0.641
2472,-0.063,-0.773,0.625
2473,-0.012,-0.828,0.602
2474,0.094,-0.867,0.59
2475,0.238,-0.902,0.594
2476,0.355,-0.895,0.586
2477,0.383,-0.82,0.609
2478,0.355,-0.758,0.684
2479,0.293,-0.707,0.77
2480,0.242,-0.691,0.863
2481,0.227,-0.672,0.922
2482,0.234,-0.684,0.98
2483,0.27,-0.703,1.016
2484,0.32,-0.711,1.023
2485,0.371,-0.715,1.004
2486,0.398,-0.711,0.973
2487,0.383,-0.707,0.926
2488,0.34,-0.695,0.867
2489,0.289,-0.672,0.809
2490,0.238,-0.664,0.766
2491,0.203,-0.66,0.73
2492,0.168,-0.648,0.703
2493,0.145,-0.641,0.688
2494,0.133,-0.637,0.676
2495,0.133,-0.633,0.676
2496,0.148,-0.633,0.668
2497,0.156,-0.625,0.66
2498,0.164,-0.633,0.652
2499,0.156,-0.633,0.645
2500,0.133,-0.637,0.645
2501,0.125,-0.66,0.648
2502,0.145,-0.695,0.656
2503,0.176,-0.738,0.664
2504,0.203,-0.754,0.672
2505,0.211,-0.762,0.688
2506,0.207,-0.754,0.699
2507,0.199,-0.738,0.719
2508,0.199,-0.738,0.723
2509,0.211,-0.727,0.707
2510,0.211,-0.695,0.703
2511,0.191,-0.668,0.707
2512,0.188,-0.664,0.711
2513,0.199,-0.684,0.699
2514,0.207,-0.715,0.691
2515,0.219,-0.73,0.699
2516,0.215,-0.754,0.711
2517,0.203,-0.773,0.715
2518,0.184,-0.785,0.715
2519,0.18,-0.773,0.719
2520,0.191,-0.723,0.699
2521,0.191,-0.656,0.676
2522,0.191,-0.57,0.656
2523,0.176,-0.52,0.66
2524,0.168,-0.527,0.656
2525,0.152,-0.578,0.656
2526,0.117,-0.684,0.664
2527,0.02,-0.801,0.695
2528,-0.102,-0.863,0.734
2529,-0.234,-0.836,0.773
2530,-0.281,-0.754,0.824
2531,-0.195,-0.688,0.914
2532,-0.027,-0.664,1.012
2533,0.09,-0.645,1.105
2534,0.125,-0.633,1.156
2535,0.098,-0.668,1.148
2536,0.039,-0.738,1.113
2537,-0.035,-0.785,1.078
2538,-0.078,-0.789,1.039
2539,-0.07,-0.762,1.004
2540,-0.043,-0.723,0.961
2541,-0.016,-0.691,0.895
2542,-0.012,-0.672,0.828
2543,-0.02,-0.676,0.754
2544,-0.031,-0.688,0.688
2545,-0.039,-0.703,0.629
2546,-0.035,-0.703,0.598
2547,-0.035,-0.707,0.578
2548,-0.031,-0.707,0.559
2549,-0.02,-0.699,0.563
2550,0.004,-0.684,0.57
2551,0.02,-0.668,0.578
2552,0.027,-0.668,0.594
2553,0.035,-0.668,0.605
2554,0.039,-0.664,0.621
2555,0.031,-0.656,0.641
