x_acc,y_acc,z_acc
-0.102,-0.445,0.906
-0.121,-0.438,0.918
-0.137,-0.477,0.953
-0.16,-0.516,0.969
-0.18,-0.539,0.988
-0.176,-0.555,0.988
-0.148,-0.566,0.977
-0.117,-0.582,0.965
-0.082,-0.586,0.961
-0.043,-0.59,0.953
0.0,-0.59,0.949
0.035,-0.566,0.949
0.055,-0.547,0.941
0.059,-0.535,0.938
0.063,-0.531,0.918
0.066,-0.527,0.895
0.07,-0.527,0.875
0.07,-0.527,0.844
0.082,-0.523,0.816
0.086,-0.527,0.781
0.078,-0.543,0.75
0.074,-0.559,0.715
0.066,-0.57,0.691
0.063,-0.566,0.676
0.055,-0.563,0.664
0.047,-0.566,0.656
0.039,-0.582,0.652
0.031,-0.605,0.645
0.016,-0.629,0.645
0.0,-0.641,0.648
-0.008,-0.641,0.664
-0.012,-0.637,0.672
-0.012,-0.645,0.68
-0.023,-0.652,0.684
-0.027,-0.66,0.691
-0.027,-0.664,0.711
-0.02,-0.684,0.715
-0.023,-0.691,0.719
-0.047,-0.707,0.723
-0.07,-0.734,0.742
-0.082,-0.773,0.777
-0.055,-0.805,0.855
-0.004,-0.789,0.945
0.027,-0.738,1.039
0.02,-0.688,1.098
0.004,-0.652,1.117
0.0,-0.633,1.105
0.031,-0.641,1.082
0.074,-0.621,1.051
0.105,-0.578,1.027
0.141,-0.535,1.008
0.168,-0.508,1.004
0.215,-0.504,1.004
0.25,-0.523,0.984
0.258,-0.543,0.973
0.242,-0.543,0.953
0.219,-0.527,0.938
0.199,-0.512,0.926
0.199,-0.5,0.91
0.191,-0.508,0.898
0.168,-0.52,0.906
0.137,-0.527,0.906
0.129,-0.527,0.902
0.148,-0.508,0.895
0.16,-0.492,0.875
0.16,-0.477,0.852
0.148,-0.469,0.836
0.141,-0.477,0.813
0.133,-0.48,0.789
0.121,-0.488,0.766
0.117,-0.5,0.754
0.098,-0.523,0.738
0.078,-0.535,0.73
0.063,-0.543,0.719
0.059,-0.547,0.715
0.059,-0.555,0.711
0.07,-0.566,0.707
0.082,-0.586,0.711
0.102,-0.598,0.715
0.102,-0.613,0.723
0.109,-0.637,0.734
0.125,-0.648,0.746
0.137,-0.664,0.758
0.148,-0.672,0.762
0.148,-0.68,0.766
0.148,-0.688,0.773
0.141,-0.715,0.773
0.145,-0.738,0.773
0.156,-0.754,0.789
0.156,-0.758,0.816
0.141,-0.77,0.852
0.129,-0.789,0.895
0.137,-0.813,0.918
0.156,-0.82,0.922
0.168,-0.805,0.914
0.148,-0.785,0.902
0.121,-0.773,0.891
0.105,-0.801,0.871
0.063,-0.824,0.855
-0.023,-0.77,0.859
-0.031,-0.645,0.859
-0.004,-0.535,0.852
-0.047,-0.496,0.852
-0.133,-0.477,0.887
-0.18,-0.457,0.926
-0.184,-0.434,0.965
-0.176,-0.41,0.98
-0.16,-0.41,0.973
-0.152,-0.438,0.938
