x_acc,y_acc,z_acc
0.031,-0.598,0.922
0.008,-0.617,0.945
-0.004,-0.629,0.965
-0.016,-0.645,0.98
-0.027,-0.656,0.969
-0.02,-0.684,0.945
-0.02,-0.699,0.898
-0.023,-0.715,0.859
0.004,-0.824,0.871
0.09,-0.992,0.859
0.215,-0.977,0.816
0.316,-0.797,0.859
0.367,-0.664,0.93
0.426,-0.563,0.953
0.457,-0.469,0.977
0.445,-0.395,1.027
0.371,-0.395,1.066
0.285,-0.457,1.078
0.227,-0.512,1.066
0.199,-0.539,1.039
0.18,-0.539,1.016
0.172,-0.516,1.0
0.152,-0.508,0.984
0.133,-0.52,0.977
0.121,-0.527,0.961
0.117,-0.512,0.93
0.117,-0.477,0.898
0.113,-0.426,0.859
0.098,-0.402,0.828
0.074,-0.395,0.801
0.051,-0.402,0.777
0.031,-0.43,0.762
0.027,-0.449,0.75
0.043,-0.449,0.746
0.059,-0.449,0.738
0.07,-0.441,0.73
0.082,-0.441,0.727
0.094,-0.445,0.727
0.098,-0.449,0.73
0.094,-0.453,0.73
0.09,-0.465,0.738
0.078,-0.48,0.73
0.086,-0.496,0.727
0.102,-0.512,0.727
0.117,-0.531,0.727
0.133,-0.543,0.73
0.141,-0.559,0.738
0.148,-0.57,0.762
0.176,-0.566,0.793
0.219,-0.563,0.828
0.25,-0.566,0.863
0.27,-0.582,0.902
0.273,-0.609,0.918
0.262,-0.637,0.922
0.246,-0.664,0.902
0.242,-0.691,0.871
0.219,-0.699,0.836
0.195,-0.75,0.836
0.129,-0.914,0.824
-0.051,-1.082,0.793
-0.195,-1.066,0.844
-0.16,-0.859,0.898
-0.063,-0.598,0.969
-0.02,-0.363,1.051
0.012,-0.223,1.109
0.059,-0.215,1.133
0.078,-0.336,1.148
0.066,-0.5,1.129
0.039,-0.609,1.09
0.039,-0.621,1.082
0.063,-0.578,1.09
0.094,-0.563,1.074
0.098,-0.586,1.051
0.102,-0.602,1.02
0.105,-0.578,1.0
0.113,-0.531,0.973
0.125,-0.488,0.941
0.137,-0.469,0.898
0.141,-0.465,0.863
0.137,-0.465,0.824
0.137,-0.465,0.785
0.141,-0.453,0.746
0.148,-0.445,0.715
0.148,-0.441,0.691
0.148,-0.441,0.672
0.148,-0.434,0.664
0.145,-0.43,0.664
0.145,-0.43,0.672
0.137,-0.445,0.68
0.125,-0.457,0.691
0.113,-0.469,0.707
0.09,-0.48,0.723
0.07,-0.488,0.742
0.063,-0.504,0.777
0.059,-0.516,0.813
0.047,-0.531,0.84
0.02,-0.555,0.871
-0.012,-0.578,0.902
-0.031,-0.594,0.938
-0.035,-0.602,0.973
-0.027,-0.613,0.988
-0.012,-0.637,0.992
0.012,-0.656,0.969
0.031,-0.676,0.941
0.039,-0.715,0.93
0.086,-0.84,0.961
0.184,-0.969,0.969
0.309,-0.898,0.926
0.387,-0.719,0.941
0.402,-0.609,1.0
0.426,-0.555,1.004
0.453,-0.484,1.004
0.449,-0.402,1.012
0.414,-0.344,1.023
0.363,-0.352,1.02
0.32,-0.41,1.004
0.277,-0.473,0.988
0.238,-0.492,0.984
0.211,-0.492,0.984
0.203,-0.48,0.988
0.191,-0.477,0.996
0.18,-0.477,0.988
0.176,-0.477,0.969
0.172,-0.473,0.941
0.156,-0.441,0.914
0.141,-0.414,0.887
0.125,-0.398,0.859
0.105,-0.395,0.836
0.09,-0.402,0.816
0.078,-0.418,0.785
0.074,-0.426,0.77
0.078,-0.434,0.75
