,0.066,-0.77,0.664
809,-0.059,-1.043,0.52
810,-0.246,-1.0,0.605
811,-0.316,-0.859,0.719
812,-0.227,-0.758,0.863
813,-0.059,-0.766,0.988
814,0.047,-0.813,1.09
815,0.066,-0.824,1.156
816,0.059,-0.82,1.168
817,0.043,-0.828,1.156
818,0.035,-0.813,1.109
819,0.035,-0.777,1.07
820,0.031,-0.738,1.016
821,0.02,-0.715,0.941
822,-0.004,-0.699,0.859
823,-0.031,-0.699,0.785
824,-0.051,-0.707,0.727
825,-0.055,-0.715,0.68
826,-0.047,-0.73,0.633
827,-0.039,-0.742,0.605
828,-0.012,-0.738,0.598
829,0.0,-0.719,0.594
830,0.012,-0.703,0.605
831,0.023,-0.68,0.613
832,0.031,-0.684,0.617
833,0.023,-0.711,0.609
834,0.008,-0.715,0.605
835,-0.004,-0.711,0.598
836,-0.004,-0.703,0.598
837,-0.008,-0.695,0.602
838,-0.016,-0.703,0.605
839,-0.035,-0.727,0.602
840,-0.055,-0.75,0.609
841,-0.066,-0.762,0.625
842,-0.078,-0.77,0.637
843,-0.078,-0.77,0.645
844,-0.082,-0.766,0.645
845,-0.09,-0.762,0.656
846,-0.09,-0.75,0.652
847,-0.074,-0.742,0.648
848,-0.063,-0.738,0.648
849,-0.059,-0.742,0.645
850,-0.059,-0.754,0.641
851,-0.051,-0.77,0.645
852,-0.047,-0.781,0.641
853,-0.039,-0.793,0.652
854,-0.035,-0.809,0.652
855,-0.027,-0.824,0.656
856,-0.016,-0.82,0.672
857,-0.008,-0.816,0.68
858,-0.008,-0.813,0.676
859,-0.02,-0.793,0.668
860,-0.027,-0.766,0.656
861,-0.039,-0.738,0.645
862,-0.051,-0.742,0.629
863,-0.043,-0.816,0.621
864,0.031,-0.902,0.633
865,0.176,-0.941,0.645
866,0.297,-0.914,0.672
867,0.34,-0.848,0.707
868,0.305,-0.789,0.746
869,0.25,-0.742,0.809
870,0.207,-0.719,0.848
871,0.18,-0.715,0.883
872,0.148,-0.707,0.938
873,0.148,-0.695,0.969
874,0.172,-0.691,0.969
875,0.191,-0.672,0.961
876,0.195,-0.637,0.934
877,0.156,-0.602,0.891
878,0.141,-0.613,0.824
879,0.152,-0.66,0.773
880,0.191,-0.711,0.727
881,0.219,-0.742,0.691
882,0.242,-0.738,0.676
883,0.258,-0.723,0.672
884,0.27,-0.699,0.664
885,0.266,-0.691,0.656
886,0.25,-0.711,0.645
887,0.238,-0.727,0.629
888,0.227,-0.734,0.621
889,0.219,-0.723,0.617
890,0.199,-0.715,0.613
891,0.172,-0.719,0.605
892,0.148,-0.73,0.602
893,0.137,-0.738,0.602
894,0.121,-0.746,0.613
895,0.113,-0.75,0.633
896,0.133,-0.758,0.641
897,0.152,-0.766,0.645
898,0.16,-0.77,0.641
899,0.164,-0.762,0.629
900,0.184,-0.73,0.621
901,0.188,-0.684,0.621
902,0.191,-0.645,0.633
903,0.199,-0.633,0.645
904,0.195,-0.648,0.656
905,0.18,-0.684,0.672
906,0.16,-0.711,0.68
907,0.152,-0.723,0.695
908,0.164,-0.727,0.711
909,0.176,-0.715,0.73
910,0.184,-0.68,0.738
911,0.188,-0.648,0.727
912,0.191,-0.602,0.711
913,0.191,-0.57,0.688
914,0.184,-0.598,0.656
915,0.145,-0.75,0.617
916,0.035,-0.949,0.598
917,-0.137,-1.039,0.613
918,-0.305,-0.988,0.676
919,-0.352,-0.84,0.777
920,-0.23,-0.711,0.93
921,-0.008,-0.676,1.063
922,0.148,-0.691,1.109
923,0.168,-0.688,1.109
