ID,group,x_acc__max,x_acc__min,x_acc__mean,x_acc__median,x_acc__std,x_acc__var,x_acc__sum,y_acc__max,y_acc__min,y_acc__mean,y_acc__median,y_acc__std,y_acc__var,y_acc__sum,z_acc__max,z_acc__min,z_acc__mean,z_acc__median,z_acc__std,z_acc__var,z_acc__sum,x_acc__freezing_index,x_acc__central_frequency,x_acc__dominant_frequency,x_acc__amplitude,x_acc__relative_amplitude,x_acc__percentile25,x_acc__percentile50,x_acc__percentile75,y_acc__freezing_index,y_acc__central_frequency,y_acc__dominant_frequency,y_acc__amplitude,y_acc__relative_amplitude,y_acc__percentile25,y_acc__percentile50,y_acc__percentile75,z_acc__freezing_index,z_acc__central_frequency,z_acc__dominant_frequency,z_acc__amplitude,z_acc__relative_amplitude,z_acc__percentile25,z_acc__percentile50,z_acc__percentile75
tone070-2,1,0.402,-0.125,0.07616154335,0.059,0.1108561111,0.01228907738,359.254,-0.121,-0.875,-0.3973983464,-0.395,0.08393402396,0.007044920379,-1874.528,1.195,0.82,0.961753021,0.945,0.0646887591,0.004184635553,4536.589,0.1472662432,2.383647892,0.9765625,0.01800854477,0.2809427173,-0.023,0.059,0.168,3.146286086,6.672053714,3.515625,0.002522178179,0.07269400205,-0.43,-0.395,-0.352,1.036809776,3.874460416,1.7578125,0.005256218239,0.230565688,0.914,0.945,1
tone024-1,1,0.574,-0.188,0.1621140251,0.148,0.1385741456,0.01920279384,426.522,-0.594,-1.609,-0.9180205245,-0.895,0.1578477811,0.02491592201,-2415.312,0.914,0.09,0.3749281642,0.34,0.1651173398,0.0272637359,986.436,0.116352098,1.936940955,0.78125,0.02116520484,0.2272711888,0.066,0.148,0.242,0.4045954777,3.568876012,1.7578125,0.04387581431,0.3318866793,-1.004,-0.895,-0.803,0.3141791018,2.21367038,1.7578125,0.04435451146,0.3603052046,0.238,0.34,0.5
tone068-2,1,0.258,-0.418,-0.1108399511,-0.109,0.1018073703,0.01036474065,-362.89,-0.402,-1.082,-0.7202626756,-0.711,0.1232594581,0.01519289401,-2358.14,1.223,0.438,0.7380204643,0.703,0.1331441007,0.01772735155,2416.279,0.4961231773,2.804391461,2.9296875,0.01187504784,0.2263005032,-0.184,-0.109,-0.047,1.124876857,3.678537922,1.953125,0.01417423544,0.1923682792,-0.809,-0.711,-0.629,0.7417267646,3.423902661,1.953125,0.02519328783,0.2750511467,0.637,0.703,0.816
tone072-1,1,0.664,-0.285,0.1362005846,0.125,0.1130685162,0.01278448936,372.781,-0.262,-1.383,-0.6408333942,-0.621,0.1650078015,0.02722757457,-1753.961,1.391,0.434,0.7875473146,0.777,0.1656420767,0.02743729756,2155.517,0.3477508538,2.832846839,2.9296875,0.007353103056,0.1164422695,0.066,0.125,0.191,0.2380965026,3.379026656,1.953125,0.03294877998,0.2544631416,-0.719,-0.621,-0.523,0.1960098296,2.357697622,1.953125,0.04497823431,0.3307165938,0.668,0.777,0.902
tone026-2,1,0.492,-0.523,0.102737823,0.094,0.1287895944,0.01658675962,242.564,-0.457,-1.723,-0.7818987717,-0.758,0.1889678306,0.03570884102,-1846.063,1.051,0.301,0.6577865311,0.668,0.1403349057,0.01969388577,1553.034,1.392937488,4.505343567,3.125,0.02369236458,0.2739443456,0.016,0.094,0.172,0.2274014448,4.350322676,2.1484375,0.06721962016,0.3033390018,-0.863,-0.758,-0.648,0.05271762193,2.437512598,2.1484375,0.05441631093,0.4117403688,0.555,0.668,0.75
tone090-2,1,0.676,-0.355,0.3405160698,0.352,0.1179859976,0.01392069562,1112.466,-0.012,-0.84,-0.397600551,-0.383,0.1301704212,0.01694433855,-1298.961,1.258,0.582,0.8794955617,0.887,0.1133577334,0.01284997572,2873.312,0.8899847438,4.367563527,2.9296875,0.009297908218,0.1175373495,0.289,0.352,0.41,0.5082929972,3.899370051,1.953125,0.01488891797,0.2223504107,-0.469,-0.383,-0.316,0.397122408,3.501401865,1.953125,0.02135266107,0.3047775966,0.801,0.887,0.949
tone014-1,1,0.328,-0.188,0.07927519026,0.074,0.07812899278,0.006104139512,520.838,-0.008,-0.598,-0.2614290715,-0.258,0.07917138179,0.006268107695,-1717.589,1.23,0.809,0.979085997,0.973,0.0560742261,0.003144318833,6432.595,0.1741251315,2.063439218,0.5859375,0.009678434152,0.337332064,0.016,0.074,0.148,0.2231187177,2.579610229,1.3671875,0.003590385183,0.1571951016,-0.309,-0.258,-0.211,0.8452898597,3.51106064,2.5390625,0.002469889228,0.1463596848,0.941,0.973,1
tone040-2,1,0.527,-0.398,0.01721383812,0.023,0.1200749395,0.01441799109,65.929,0.336,-0.527,0.02080365535,0.035,0.1188355933,0.01412189824,79.678,1.297,0.793,1.031959791,1.031,0.05587029762,0.003121490156,3952.406,0.5387145583,3.410893768,0.9765625,0.02089725807,0.2538227051,-0.078,0.023,0.098,0.8764216432,4.837034828,1.953125,0.007971106194,0.1440632155,-0.043,0.035,0.102,1.764935562,5.372129697,1.953125,0.001329795309,0.0699296136,1.004,1.031,1.059
tone008-1,1,0.344,-0.203,0.04702614379,0.055,0.1256992119,0.01580029188,172.68,-0.555,-1.559,-0.8076171024,-0.777,0.1117331476,0.01248429628,-2965.57,0.992,0.477,0.6286974401,0.617,0.07875356786,0.00620212445,2308.577,0.1087274956,1.871528048,1.171875,0.03633944236,0.4564843156,-0.082,0.055,0.16,1.159291072,5.070789782,2.34375,0.01093143888,0.1601701047,-0.855,-0.777,-0.734,0.7408919147,3.557129316,2.1484375,0.00512041801,0.1681649913,0.57,0.617,0.672
tone046-1,1,0.527,-0.789,-0.0655755581,-0.055,0.1613700216,0.02604028387,-229.121,0.461,-0.391,-0.0120872925,-0.027,0.1195901489,0.01430180371,-42.233,1.328,0.824,1.034162564,1.023,0.07747914519,0.00600301794,3613.364,0.527172812,3.998229292,1.3671875,0.04333867915,0.3064900198,-0.148,-0.055,0.02,0.7497091525,4.757504792,2.734375,0.003068697552,0.1144221307,-0.086,-0.027,0.039,0.7939592214,4.325836666,2.734375,0.005455759331,0.1532813992,0.977,1.023,1.078
