x_acc,y_acc,z_acc
0.125,-0.688,0.625
0.148,-0.684,0.637
0.176,-0.684,0.668
0.203,-0.699,0.719
0.227,-0.742,0.766
0.254,-0.801,0.785
0.246,-0.828,0.793
0.215,-0.797,0.793
0.172,-0.73,0.793
0.145,-0.676,0.805
0.137,-0.668,0.832
0.148,-0.707,0.852
0.172,-0.789,0.898
0.227,-0.902,0.992
0.301,-1.055,1.039
0.375,-1.18,1.012
0.414,-1.18,0.965
0.43,-1.066,0.906
0.426,-0.91,0.828
0.387,-0.77,0.785
0.352,-0.684,0.801
0.324,-0.66,0.824
0.313,-0.703,0.832
0.316,-0.793,0.828
0.316,-0.871,0.828
0.32,-0.898,0.836
0.336,-0.855,0.848
0.363,-0.766,0.844
0.371,-0.664,0.836
0.355,-0.578,0.824
0.328,-0.52,0.809
0.316,-0.5,0.777
0.305,-0.512,0.727
0.297,-0.523,0.672
0.293,-0.535,0.633
0.285,-0.543,0.59
0.281,-0.551,0.551
0.289,-0.547,0.52
0.297,-0.531,0.496
0.297,-0.52,0.484
0.301,-0.512,0.48
0.301,-0.512,0.477
0.289,-0.516,0.465
0.281,-0.508,0.469
0.277,-0.508,0.488
0.27,-0.508,0.496
0.273,-0.516,0.504
0.277,-0.52,0.508
0.285,-0.527,0.516
0.297,-0.535,0.531
0.305,-0.551,0.547
0.32,-0.566,0.559
0.34,-0.582,0.57
0.348,-0.586,0.574
0.344,-0.586,0.574
0.336,-0.59,0.574
0.328,-0.59,0.59
0.32,-0.602,0.605
0.32,-0.629,0.617
0.324,-0.668,0.629
0.316,-0.703,0.645
0.313,-0.723,0.66
0.301,-0.734,0.68
0.289,-0.75,0.699
0.289,-0.766,0.727
0.289,-0.781,0.742
0.301,-0.773,0.746
0.32,-0.742,0.766
0.336,-0.707,0.805
0.352,-0.703,0.832
0.371,-0.758,0.84
0.359,-0.816,0.855
0.34,-0.867,0.91
0.313,-0.934,0.973
0.301,-1.02,0.98
0.277,-1.078,0.93
