x_acc,y_acc,z_acc
0.008,-0.734,0.715
0.016,-0.688,0.719
0.027,-0.66,0.738
0.039,-0.633,0.742
0.047,-0.625,0.742
0.047,-0.613,0.73
0.051,-0.598,0.723
0.047,-0.594,0.719
0.051,-0.582,0.711
0.051,-0.566,0.719
0.051,-0.566,0.73
0.043,-0.566,0.742
0.039,-0.566,0.75
0.031,-0.582,0.766
0.027,-0.598,0.766
0.02,-0.609,0.762
0.012,-0.621,0.754
0.012,-0.625,0.75
0.016,-0.617,0.75
0.023,-0.617,0.746
0.027,-0.621,0.754
0.027,-0.633,0.754
0.02,-0.641,0.75
0.012,-0.648,0.738
-0.004,-0.645,0.727
-0.012,-0.633,0.719
-0.012,-0.621,0.715
-0.012,-0.609,0.715
0.0,-0.613,0.734
0.004,-0.633,0.75
0.0,-0.676,0.754
-0.004,-0.719,0.746
-0.008,-0.75,0.73
-0.012,-0.762,0.723
-0.008,-0.766,0.727
-0.012,-0.785,0.758
-0.012,-0.832,0.793
-0.016,-0.883,0.809
-0.016,-0.922,0.816
-0.012,-0.938,0.805
-0.004,-0.926,0.797
0.016,-0.902,0.816
0.039,-0.879,0.832
0.063,-0.848,0.844
0.055,-0.805,0.871
0.043,-0.773,0.91
0.031,-0.742,0.922
0.027,-0.711,0.902
0.031,-0.68,0.875
0.055,-0.648,0.852
0.098,-0.617,0.828
0.137,-0.594,0.801
0.176,-0.586,0.809
0.207,-0.594,0.816
0.227,-0.617,0.828
0.238,-0.637,0.824
0.234,-0.656,0.809
0.227,-0.672,0.785
0.211,-0.691,0.77
0.195,-0.684,0.766
0.172,-0.68,0.77
0.148,-0.676,0.766
0.121,-0.676,0.758
0.086,-0.688,0.75
0.063,-0.688,0.734
0.043,-0.699,0.723
0.047,-0.699,0.707
0.066,-0.691,0.691
0.098,-0.676,0.684
0.125,-0.66,0.684
0.141,-0.645,0.699
0.145,-0.633,0.715
0.141,-0.617,0.719
0.133,-0.617,0.719
0.121,-0.613,0.711
0.109,-0.605,0.699
0.105,-0.602,0.691
0.098,-0.598,0.691
0.102,-0.598,0.699
0.105,-0.602,0.707
0.113,-0.609,0.707
0.121,-0.617,0.703
0.129,-0.641,0.695
0.121,-0.652,0.688
0.117,-0.664,0.684
0.113,-0.672,0.68
0.105,-0.676,0.676
0.105,-0.68,0.676
0.105,-0.691,0.672
0.109,-0.695,0.676
0.117,-0.684,0.672
0.117,-0.68,0.684
0.109,-0.684,0.699
0.109,-0.699,0.711
0.102,-0.746,0.727
0.125,-0.816,0.742
0.152,-0.891,0.738
0.168,-0.977,0.758
0.184,-1.078,0.785
0.168,-1.152,0.766
0.121,-1.16,0.734
0.059,-1.121,0.746
0.027,-1.031,0.797
0.023,-0.91,0.855
0.023,-0.766,0.902
0.023,-0.637,0.926
0.031,-0.539,0.945
0.031,-0.453,0.973
0.027,-0.391,0.98
