882,-0.109,-0.844,0.539
883,-0.113,-0.844,0.535
884,-0.117,-0.844,0.539
885,-0.121,-0.844,0.539
886,-0.117,-0.844,0.539
887,-0.109,-0.848,0.539
888,-0.109,-0.844,0.539
889,-0.105,-0.844,0.539
890,-0.109,-0.844,0.539
891,-0.113,-0.844,0.539
892,-0.113,-0.844,0.539
893,-0.109,-0.844,0.543
894,-0.109,-0.844,0.551
895,-0.109,-0.844,0.551
896,-0.109,-0.844,0.555
897,-0.109,-0.844,0.563
898,-0.102,-0.848,0.563
899,-0.105,-0.844,0.555
900,-0.098,-0.844,0.555
901,-0.102,-0.836,0.551
902,-0.102,-0.844,0.547
903,-0.105,-0.848,0.555
904,-0.105,-0.844,0.555
905,-0.105,-0.844,0.559
906,-0.109,-0.84,0.559
907,-0.117,-0.844,0.559
908,-0.137,-0.871,0.551
909,-0.133,-0.91,0.555
910,-0.133,-0.934,0.543
911,-0.121,-0.957,0.531
912,-0.113,-0.977,0.52
913,-0.102,-0.992,0.512
914,-0.086,-0.996,0.512
915,-0.078,-0.992,0.516
916,-0.074,-0.969,0.52
917,-0.07,-0.945,0.523
918,-0.063,-0.926,0.523
919,-0.059,-0.898,0.523
920,-0.051,-0.887,0.527
921,-0.047,-0.875,0.531
922,-0.047,-0.863,0.535
923,-0.043,-0.848,0.535
924,-0.043,-0.828,0.539
925,-0.039,-0.813,0.543
926,-0.035,-0.797,0.535
927,-0.031,-0.785,0.531
928,-0.031,-0.781,0.535
929,-0.031,-0.793,0.547
930,-0.02,-0.805,0.555
931,-0.012,-0.816,0.566
932,0.0,-0.816,0.57
933,0.004,-0.82,0.578
934,0.0,-0.828,0.578
935,-0.008,-0.84,0.578
936,-0.008,-0.844,0.582
937,0.0,-0.855,0.59
938,-0.004,-0.867,0.594
939,0.004,-0.871,0.598
940,0.012,-0.871,0.594
941,0.004,-0.871,0.582
942,0.008,-0.863,0.57
943,0.008,-0.859,0.555
944,0.016,-0.867,0.547
945,0.016,-0.883,0.531
946,0.012,-0.898,0.523
947,-0.004,-0.902,0.531
948,-0.008,-0.887,0.539
949,-0.012,-0.879,0.551
950,-0.012,-0.871,0.543
951,-0.008,-0.871,0.539
952,-0.008,-0.863,0.531
953,-0.012,-0.867,0.523
954,-0.012,-0.859,0.516
955,-0.012,-0.863,0.512
956,-0.012,-0.855,0.508
957,-0.008,-0.855,0.504
958,-0.016,-0.852,0.5
959,-0.016,-0.852,0.5
960,-0.012,-0.848,0.496
961,-0.012,-0.848,0.488
962,-0.012,-0.848,0.48
963,-0.012,-0.855,0.48
964,-0.012,-0.859,0.484
965,0.008,-0.863,0.488
966,0.008,-0.855,0.492
967,0.016,-0.852,0.492
968,0.012,-0.855,0.492
969,0.004,-0.863,0.492
970,-0.004,-0.871,0.492
971,-0.016,-0.871,0.508
972,-0.031,-0.867,0.516
973,-0.039,-0.867,0.527
974,-0.055,-0.871,0.543
975,-0.055,-0.887,0.539
976,-0.055,-0.895,0.535
977,-0.047,-0.91,0.531
978,-0.051,-0.938,0.52
979,-0.055,-0.977,0.52
980,-0.063,-1.02,0.531
981,-0.098,-1.031,0.547
982,-0.129,-1.012,0.574
983,-0.152,-0.969,0.598
984,-0.164,-0.938,0.594
985,-0.168,-0.926,0.59
986,-0.164,-0.941,0.582
987,-0.16,-0.965,0.578
988,-0.16,-0.973,0.578
989,-0.148,-0.945,0.582
990,-0.133,-0.906,0.582
991,-0.125,-0.875,0.582
992,-0.121,-0.859,0.59
993,-0.117,-0.863,0.59
994,-0.113,-0.871,0.598
995,-0.113,-0.867,0.605
996,-0.113,-0.852,0.613
997,-0.125,-0.836,0.625
998,-0.125,-0.824,0.629
999,-0.125,-0.816,0.625
1000,-0.117,-0.805,0.613
1001,-0.113,-0.789,0.605
1002,-0.109,-0.773,0.617
1003,-0.121,-0.777,0.621
1004,-0.129,-0.785,0.629
1005,-0.125,-0.797,0.629
1006,-0.129,-0.805,0.633
1007,-0.137,-0.805,0.633
1008,-0.152,-0.801,0.633
1009,-0.145,-0.805,0.641
1010,-0.145,-0.809,0.629
1011,-0.133,-0.809,0.625
1012,-0.129,-0.805,0.629
1013,-0.125,-0.797,0.629
1014,-0.121,-0.805,0.629
1015,-0.117,-0.828,0.625
1016,-0.117,-0.848,0.617
1017,-0.109,-0.852,0.617
1018,-0.102,-0.844,0.605
1019,-0.098,-0.824,0.605
1020,-0.094,-0.813,0.594
1021,-0.094,-0.813,0.582
1022,-0.105,-0.824,0.574
1023,-0.109,-0.836,0.566
1024,-0.109,-0.832,0.566
1025,-0.109,-0.824,0.566
1026,-0.109,-0.828,0.563
1027,-0.102,-0.824,0.555
1028,-0.098,-0.824,0.551
1029,-0.094,-0.82,0.543
1030,-0.098,-0.816,0.543
1031,-0.102,-0.813,0.543
1032,-0.105,-0.82,0.539
1033,-0.109,-0.836,0.539
1034,-0.105,-0.848,0.539
1035,-0.105,-0.844,0.539
1036,-0.105,-0.844,0.547
1037,-0.105,-0.844,0.551
1038,-0.109,-0.844,0.555
1039,-0.105,-0.844,0.559
1040,-0.109,-0.844,0.563
1041,-0.113,-0.844,0.559
1042,-0.125,-0.852,0.559
1043,-0.121,-0.855,0.555
1044,-0.117,-0.859,0.559
1045,-0.117,-0.867,0.566
1046,-0.113,-0.867,0.57
1047,-0.113,-0.863,0.57
1048,-0.113,-0.863,0.563
1049,-0.113,-0.863,0.559
1050,-0.109,-0.867,0.547
1051,-0.113,-0.867,0.547
1052,-0.113,-0.871,0.539
1053,-0.113,-0.871,0.531
1054,-0.117,-0.871,0.531
1055,-0.113,-0.883,0.523
1056,-0.113,-0.891,0.523
1057,-0.113,-0.906,0.523
1058,-0.125,-0.922,0.516
1059,-0.113,-0.938,0.516
1060,-0.113,-0.945,0.512
1061,-0.102,-0.957,0.508
1062,-0.09,-0.957,0.508
1063,-0.078,-0.965,0.508
1064,-0.082,-0.965,0.508
1065,-0.09,-0.957,0.516
1066,-0.094,-0.934,0.52
1067,-0.09,-0.91,0.523
1068,-0.098,-0.883,0.531
1069,-0.098,-0.859,0.539
1070,-0.094,-0.84,0.551
1071,-0.086,-0.828,0.559
1072,-0.086,-0.824,0.559
1073,-0.078,-0.82,0.559
1074,-0.07,-0.832,0.563
1075,-0.055,-0.836,0.559
1076,-0.051,-0.844,0.559
1077,-0.047,-0.844,0.559
1078,-0.043,-0.844,0.559
1079,-0.023,-0.836,0.566
1080,-0.004,-0.832,0.57
1081,0.004,-0.836,0.566
1082,0.016,-0.84,0.555
1083,0.023,-0.844,0.551
1084,0.027,-0.848,0.555
1085,0.031,-0.848,0.551
1086,0.027,-0.852,0.559
1087,0.027,-0.852,0.566
1088,0.031,-0.852,0.563
1089,0.027,-0.852,0.559
1090,0.031,-0.863,0.547
1091,0.027,-0.883,0.531
1092,0.027,-0.887,0.523
1093,0.027,-0.879,0.52
1094,0.031,-0.863,0.523
1095,0.035,-0.863,0.527
1096,0.035,-0.867,0.535
1097,0.031,-0.875,0.535
1098,0.023,-0.867,0.535
1099,0.023,-0.867,0.527
1100,0.027,-0.859,0.523
1101,0.035,-0.852,0.516
1102,0.039,-0.848,0.508
1103,0.047,-0.852,0.496
1104,0.047,-0.848,0.488
1105,0.051,-0.848,0.484
1106,0.047,-0.848,0.488
1107,0.043,-0.844,0.484
1108,0.031,-0.832,0.492
1109,0.039,-0.816,0.504
1110,0.031,-0.809,0.512
1111,0.031,-0.809,0.531
1112,0.023,-0.82,0.551
1113,0.008,-0.828,0.563
1114,0.0,-0.824,0.57
1115,-0.008,-0.824,0.566
1116,-0.008,-0.828,0.559
1117,-0.008,-0.84,0.543
1118,-0.004,-0.855,0.523
1119,0.0,-0.922,0.508
1120,-0.02,-1.051,0.523
1121,-0.07,-1.148,0.551
1122,-0.145,-1.117,0.594
1123,-0.191,-1.039,0.641
1124,-0.211,-0.977,0.668
1125,-0.215,-0.965,0.668
1126,-0.207,-0.965,0.652
1127,-0.199,-0.973,0.629
1128,-0.188,-0.957,0.605
1129,-0.18,-0.926,0.598
1130,-0.164,-0.895,0.59
1131,-0.148,-0.879,0.59
1132,-0.125,-0.875,0.586
1133,-0.109,-0.863,0.598
1134,-0.086,-0.84,0.613
1135,-0.074,-0.824,0.621
1136,-0.066,-0.816,0.629
1137,-0.063,-0.797,0.629
1138,-0.059,-0.777,0.629
1139,-0.074,-0.75,0.629
1140,-0.082,-0.715,0.625
1141,-0.086,-0.695,0.617
1142,-0.098,-0.684,0.617
1143,-0.109,-0.688,0.625
1144,-0.117,-0.703,0.629
1145,-0.117,-0.711,0.633
1146,-0.113,-0.719,0.641
1147,-0.117,-0.73,0.637
1148,-0.129,-0.746,0.637
1149,-0.141,-0.754,0.637
1150,-0.148,-0.77,0.645
1151,-0.156,-0.793,0.648
1152,-0.148,-0.813,0.66
1153,-0.133,-0.84,0.672
1154,-0.113,-0.863,0.672
1155,-0.102,-0.871,0.676
1156,-0.086,-0.863,0.676
1157,-0.086,-0.848,0.676
1158,-0.102,-0.836,0.664
1159,-0.094,-0.836,0.664
1160,-0.09,-0.84,0.652
1161,-0.086,-0.844,0.641
1162,-0.078,-0.848,0.629
1163,-0.07,-0.844,0.633
1164,-0.063,-0.84,0.621
1165,-0.059,-0.832,0.621
1166,-0.063,-0.816,0.617
1167,-0.066,-0.813,0.613
1168,-0.063,-0.805,0.605
1169,-0.07,-0.805,0.602
1170,-0.078,-0.805,0.594
1171,-0.078,-0.793,0.598
1172,-0.086,-0.793,0.594
1173,-0.09,-0.793,0.59
1174,-0.094,-0.797,0.59
1175,-0.098,-0.809,0.594
1176,-0.094,-0.816,0.59
1177,-0.094,-0.824,0.594
1178,-0.082,-0.832,0.594
1179,-0.078,-0.832,0.59
1180,-0.074,-0.824,0.582
1181,-0.074,-0.816,0.578
1182,-0.074,-0.813,0.586
1183,-0.078,-0.828,0.594
1184,-0.082,-0.84,0.594
1185,-0.086,-0.855,0.598
1186,-0.082,-0.848,0.602
1187,-0.086,-0.844,0.605
1188,-0.094,-0.832,0.605
1189,-0.102,-0.832,0.602
1190,-0.109,-0.832,0.594
1191,-0.113,-0.836,0.59
1192,-0.113,-0.84,0.59
1193,-0.109,-0.832,0.594
1194,-0.098,-0.832,0.598
1195,-0.086,-0.836,0.605
1196,-0.078,-0.836,0.609
1197,-0.078,-0.84,0.609
1198,-0.086,-0.844,0.594
1199,-0.098,-0.867,0.582
1200,-0.094,-0.898,0.551
1201,-0.086,-0.926,0.527
1202,-0.074,-0.934,0.516
1203,-0.063,-0.938,0.523
1204,-0.059,-0.926,0.531
1205,-0.055,-0.918,0.547
1206,-0.055,-0.91,0.559
1207,-0.047,-0.898,0.57
1208,-0.043,-0.879,0.582
1209,-0.02,-0.863,0.605
1210,-0.008,-0.848,0.598
1211,0.004,-0.824,0.602
1212,0.008,-0.801,0.605
1213,0.012,-0.781,0.602
1214,0.004,-0.773,0.602
1215,0.0,-0.773,0.59
1216,0.004,-0.777,0.578
1217,0.008,-0.785,0.559
1218,0.012,-0.801,0.559
1219,0.016,-0.813,0.563
1220,0.02,-0.82,0.563
1221,0.031,-0.824,0.57
1222,0.047,-0.828,0.57
1223,0.051,-0.836,0.574
1224,0.059,-0.84,0.57
1225,0.051,-0.863,0.57
1226,0.035,-0.887,0.57
1227,0.023,-0.891,0.57
1228,0.023,-0.871,0.57
1229,0.027,-0.852,0.57
1230,0.043,-0.848,0.57
1231,0.043,-0.844,0.57
1232,0.039,-0.844,0.563
1233,0.027,-0.855,0.555
1234,0.023,-0.848,0.551
1235,0.02,-0.848,0.543
1236,0.02,-0.84,0.539
1237,0.023,-0.832,0.531
1238,0.027,-0.832,0.52
1239,0.027,-0.828,0.512
1240,0.023,-0.824,0.508
1241,0.02,-0.828,0.504
1242,0.016,-0.828,0.488
1243,0.016,-0.832,0.484
1244,0.016,-0.832,0.484
1245,0.012,-0.824,0.492
1246,0.008,-0.824,0.5
1247,-0.004,-0.824,0.508
1248,-0.008,-0.816,0.52
1249,-0.02,-0.809,0.527
1250,-0.02,-0.793,0.543
1251,-0.023,-0.801,0.547
1252,-0.02,-0.828,0.555
1253,-0.02,-0.875,0.555
1254,-0.02,-0.922,0.543
1255,-0.016,-0.969,0.539
1256,-0.02,-1.008,0.551
1257,-0.051,-1.043,0.551
1258,-0.113,-1.035,0.566
1259,-0.156,-0.984,0.605
1260,-0.199,-0.934,0.629
1261,-0.219,-0.918,0.641
1262,-0.23,-0.945,0.633
1263,-0.234,-0.98,0.629
1264,-0.23,-0.992,0.625
1265,-0.215,-0.969,0.633
1266,-0.207,-0.91,0.648
1267,-0.191,-0.867,0.664
1268,-0.176,-0.836,0.672
1269,-0.164,-0.816,0.664
1270,-0.156,-0.813,0.66
1271,-0.141,-0.809,0.664
1272,-0.141,-0.797,0.664
1273,-0.137,-0.781,0.664
1274,-0.133,-0.762,0.66
1275,-0.137,-0.754,0.652
1276,-0.141,-0.746,0.645
1277,-0.133,-0.742,0.641
1278,-0.129,-0.738,0.645
1279,-0.129,-0.742,0.641
1280,-0.133,-0.754,0.641
1281,-0.133,-0.762,0.641
1282,-0.137,-0.77,0.637
1283,-0.137,-0.777,0.637
1284,-0.137,-0.793,0.637
1285,-0.137,-0.813,0.633
1286,-0.121,-0.82,0.641
1287,-0.105,-0.828,0.648
1288,-0.094,-0.836,0.652
1289,-0.086,-0.84,0.648
1290,-0.078,-0.84,0.652
1291,-0.086,-0.844,0.652
1292,-0.09,-0.848,0.652
1293,-0.09,-0.848,0.648
1294,-0.094,-0.844,0.648
1295,-0.098,-0.844,0.641
1296,-0.098,-0.844,0.637
1297,-0.102,-0.848,0.625
1298,-0.098,-0.852,0.617
1299,-0.094,-0.848,0.609
1300,-0.094,-0.844,0.605
1301,-0.094,-0.832,0.594
1302,-0.094,-0.832,0.582
1303,-0.094,-0.84,0.578
1304,-0.094,-0.84,0.57
1305,-0.09,-0.844,0.563
1306,-0.082,-0.844,0.555
1307,-0.078,-0.844,0.547
1308,-0.086,-0.844,0.539
1309,-0.078,-0.844,0.547
1310,-0.074,-0.844,0.539
1311,-0.078,-0.848,0.535
1312,-0.078,-0.855,0.535
1313,-0.074,-0.863,0.535
1314,-0.074,-0.871,0.535
1315,-0.07,-0.875,0.531
1316,-0.074,-0.875,0.523
1317,-0.078,-0.859,0.52
1318,-0.082,-0.848,0.512
1319,-0.086,-0.844,0.508
1320,-0.094,-0.852,0.512
1321,-0.09,-0.867,0.512
1322,-0.09,-0.875,0.516
1323,-0.09,-0.879,0.516
1324,-0.098,-0.879,0.52
1325,-0.102,-0.875,0.527
1326,-0.109,-0.871,0.523
1327,-0.113,-0.871,0.523
1328,-0.117,-0.867,0.516
1329,-0.117,-0.867,0.52
1330,-0.117,-0.871,0.516
1331,-0.113,-0.875,0.516
1332,-0.109,-0.871,0.512
1333,-0.109,-0.871,0.508
1334,-0.109,-0.855,0.504
1335,-0.113,-0.848,0.496
1336,-0.117,-0.844,0.488
1337,-0.125,-0.844,0.488
1338,-0.125,-0.844,0.48
1339,-0.117,-0.855,0.484
1340,-0.109,-0.887,0.492
1341,-0.102,-0.922,0.488
1342,-0.086,-0.949,0.488
1343,-0.074,-0.984,0.504
1344,-0.066,-1.023,0.504
1345,-0.047,-1.059,0.5
1346,-0.027,-1.07,0.504
1347,-0.008,-1.043,0.516
1348,-0.008,-1.0,0.531
1349,-0.031,-0.965,0.535
1350,-0.051,-0.957,0.539
1351,-0.074,-0.949,0.543
