,-0.066,-0.848,0.574
3817,-0.094,-0.852,0.609
3818,-0.086,-0.848,0.602
3819,-0.078,-0.844,0.602
3820,-0.074,-0.832,0.598
3821,-0.066,-0.824,0.59
3822,-0.07,-0.824,0.582
3823,-0.07,-0.816,0.582
3824,-0.07,-0.805,0.578
3825,-0.07,-0.813,0.578
3826,-0.074,-0.816,0.578
3827,-0.078,-0.824,0.57
3828,-0.078,-0.832,0.566
3829,-0.074,-0.828,0.563
3830,-0.078,-0.824,0.555
3831,-0.078,-0.836,0.551
3832,-0.078,-0.832,0.547
3833,-0.086,-0.828,0.543
3834,-0.086,-0.824,0.547
3835,-0.094,-0.828,0.555
3836,-0.102,-0.836,0.563
3837,-0.109,-0.832,0.57
3838,-0.109,-0.832,0.57
3839,-0.109,-0.84,0.563
3840,-0.109,-0.844,0.547
3841,-0.113,-0.844,0.535
3842,-0.117,-0.84,0.531
3843,-0.125,-0.844,0.531
3844,-0.121,-0.848,0.535
3845,-0.121,-0.852,0.543
3846,-0.121,-0.852,0.555
3847,-0.125,-0.844,0.566
3848,-0.125,-0.844,0.57
3849,-0.133,-0.836,0.57
3850,-0.137,-0.84,0.574
3851,-0.141,-0.844,0.57
3852,-0.141,-0.848,0.566
3853,-0.137,-0.859,0.566
3854,-0.141,-0.852,0.57
3855,-0.148,-0.875,0.566
3856,-0.152,-0.906,0.555
3857,-0.148,-0.938,0.531
3858,-0.145,-0.961,0.516
3859,-0.121,-0.98,0.504
3860,-0.094,-0.988,0.504
3861,-0.082,-0.984,0.52
3862,-0.074,-0.969,0.527
3863,-0.07,-0.953,0.531
3864,-0.074,-0.938,0.535
3865,-0.063,-0.914,0.531
3866,-0.047,-0.887,0.523
3867,-0.027,-0.855,0.523
3868,-0.02,-0.832,0.527
3869,-0.008,-0.809,0.535
3870,0.012,-0.801,0.539
3871,0.02,-0.789,0.535
3872,0.035,-0.785,0.527
3873,0.051,-0.789,0.512
3874,0.059,-0.785,0.523
3875,0.066,-0.793,0.535
3876,0.063,-0.801,0.551
3877,0.059,-0.813,0.559
3878,0.059,-0.82,0.566
